Event_Year,ATL,BOS,DEN,DFW,EWR,JFK,LAX,LGA,MIA,ORD,PANC,PHX,SEA,SFO
1995,2,0,1,2,2,3,1,0,2,3,0,0,0,0
1996,0,1,1,1,0,3,2,1,3,2,0,0,1,2
1997,2,0,3,2,3,0,1,1,1,1,0,0,1,1
1998,2,0,4,1,1,2,0,1,2,2,0,0,1,0
1999,0,0,0,0,2,2,3,2,0,1,0,3,0,0
2000,0,4,0,0,3,1,0,3,1,5,1,0,3,1
2001,1,5,1,2,0,2,0,0,0,2,1,1,1,1
2002,3,1,0,0,0,1,0,1,1,2,4,1,1,0
2003,1,3,5,2,0,3,0,3,3,2,0,0,1,1
2004,1,0,4,1,0,0,2,0,1,2,3,0,0,0
2005,0,4,9,0,4,0,1,0,0,2,0,2,1,0
2006,0,2,6,1,3,0,0,3,0,5,0,0,1,0
2007,3,0,4,0,0,5,1,1,1,7,0,2,0,2
2008,0,0,1,1,1,1,1,0,1,3,0,2,5,2
2009,2,0,0,1,1,0,1,1,0,2,0,0,0,0
2010,1,1,0,0,1,0,3,2,1,4,2,2,0,1
2011,5,2,2,1,0,1,2,0,1,4,0,0,0,0
2012,0,0,1,0,0,1,0,0,0,2,0,0,0,0
2013,1,1,0,2,0,0,0,1,0,0,0,1,0,2
2014,1,0,0,0,2,0,1,0,0,0,0,0,0,0
2015,0,1,0,1,0,0,0,0,0,0,0,0,0,0